date,Total_Daily_PnL,Total_Daily_Volume,Net_Trade_Flow,Trade_Count,Classification,Sentiment_Score
2024-03-29,883.097404,86914.37,-86914.37,15,Greed,1
2024-03-30,1100.57514,101103.92,-101103.92,45,Greed,1
2024-03-31,912.786145,39912.96,-39912.96,13,Greed,1
2024-04-01,2507.963406,339470.47,-339470.47,77,Greed,1
2024-04-02,883.760812,239664.50999999998,-239664.50999999998,41,Greed,1
2024-04-03,126.7884,16887.57,-16887.57,4,Greed,1
2024-04-04,0.0,95987.73,-95987.73,32,Greed,1
2024-04-05,10706.484306,503791.8,-503791.8,100,Greed,1
2024-04-06,236.33513399999998,68223.67,-68223.67,16,Greed,1
2024-04-07,0.0,49988.14,-49988.14,23,Greed,1
2024-04-08,1218.4267,211940.64,-211940.64,30,Greed,1
2024-04-09,0.0,57063.840000000004,-57063.840000000004,3,Greed,1
2024-04-10,5207.443414,351735.97,-351735.97,41,Greed,1
2024-04-11,389.743164,76400.96,-76400.96,16,Greed,1
2024-04-12,-592.6458390000001,442088.59,-442088.59,129,Greed,1
2024-04-13,6621.451755,486411.25,-486411.25,89,Greed,1
2024-04-14,-36104.012520000004,659162.17,-659162.17,107,Greed,1
2024-04-15,3774.08872,291111.19,-291111.19,41,Greed,1
2024-04-16,2467.702221,181907.17,-181907.17,47,Greed,1
2024-04-17,2441.4683999999997,97562.99,-97562.99,14,Greed,1
2024-04-19,1946.4454620000001,337257.92000000004,-337257.92000000004,35,Greed,1
2024-04-20,0.0,60733.24,36734.06,22,Greed,1
2024-04-22,0.0,47993.61,-47993.61,9,Greed,1
2024-04-23,1119.536196,233054.9,-233054.9,66,Greed,1
2024-04-24,279.185907,141275.24,-141275.24,20,Greed,1
2024-04-25,0.0,120241.01,-17717.27,74,Greed,1
2024-04-26,0.0,4988.290000000001,-4988.290000000001,3,Greed,1
2024-04-27,4281.488139,154264.47,-154264.47,27,Greed,1
2024-04-28,0.0,43985.6,-43985.6,58,Greed,1
2024-04-29,526.9338359999999,108699.01,-108699.01,45,Greed,1
2024-04-30,0.0,125018.75,-125018.75,24,Greed,1
2024-05-04,0.0,58998.75,-58998.75,9,Greed,1
2024-05-05,0.916,24068.350000000002,-24068.350000000002,6,Greed,1
2024-05-06,968.59038,206016.43,-206016.43,9,Greed,1
2024-05-07,883.537693,108717.58,-108717.58,18,Greed,1
2024-05-08,1.56576,65973.57,-65973.57,13,Greed,1
2024-05-09,1147.595856,221966.12,-221966.12,28,Greed,1
2024-05-10,2101.741695,156882.0,-156882.0,22,Greed,1
2024-05-12,0.0,55179.56,-55179.56,23,Greed,1
2024-05-13,2136.853859,193118.9,-193118.9,28,Greed,1
2024-05-14,1150.5233050000002,145853.4,-145853.4,23,Greed,1
2024-05-15,948.970582,234922.57,-234922.57,36,Greed,1
2024-05-16,214.5898,162620.96,-162620.96,27,Greed,1
2024-05-18,3522.3946610000003,126303.14,-126303.14,25,Greed,1
2024-05-19,0.0,29998.09,-29998.09,8,Greed,1
2024-05-20,-74.818442,38124.75,-38124.75,10,Greed,1
2024-05-21,7289.397571999999,1100948.59,-1100948.59,125,Greed,1
2024-05-22,0.0,44995.29,-44995.29,6,Greed,1
2024-05-23,413.347329,401850.6,-401850.6,325,Greed,1
2024-05-24,821.949278,50811.899999999994,-50811.899999999994,2,Greed,1
2024-05-25,14.126038999999999,29991.129999999997,-29991.129999999997,16,Greed,1
2024-05-26,778.6839,53976.67,-53976.67,16,Greed,1
2024-05-27,1129.35587,151115.72,-151115.72,251,Greed,1
2024-05-29,277.791953,84268.76,-23134.08,164,Greed,1
2024-05-30,20.951433,2838.09,-2838.09,7,Greed,1
2024-05-31,25.35812,3636.14,-3636.14,13,Greed,1
2024-06-01,91.510419,12834.62,-12834.62,25,Greed,1
2024-06-02,192.906947,29464.51,-29464.51,93,Greed,1
2024-06-03,562.808208,21466.86,-21466.86,70,Greed,1
2024-06-04,52.211438,24243.41,-24243.41,53,Greed,1
2024-06-05,56.055506,25350.77,-25350.77,54,Greed,1
2024-06-06,274.173187,137557.76,-137557.76,234,Greed,1
2024-06-07,8902.467416,1098588.76,-1096416.5,440,Greed,1
2024-06-08,129.13883900000002,97351.88,-97351.88,29,Greed,1
2024-06-09,0.0,22410.22,-19589.7,17,Greed,1
2024-06-10,31.266804999999998,46587.93,-46587.93,53,Greed,1
2024-06-11,4320.631811,373279.92,-366374.08,123,Greed,1
2024-06-12,-21886.531493,193407.96,-190366.02,254,Greed,1
2024-06-13,6632.757115,132577.22,-127520.64,79,Greed,1
2024-06-14,10258.592609,139868.66,-139868.66,31,Greed,1
2024-06-15,3369.958346,718350.25,-718350.25,78,Greed,1
2024-06-16,0.0,25235.079999999998,-25235.079999999998,11,Greed,1
2024-06-17,10599.502375,368380.12,-368380.12,38,Greed,1
2024-06-18,282.57636,263314.79,-263314.79,25,Greed,1
2024-06-19,4887.656944,417071.12,-417071.12,61,Greed,1
2024-06-20,57478.456026,207990.8,-207990.8,39,Greed,1
2024-06-21,773.5582039999999,176264.49,-172302.99,80,Greed,1
2024-06-23,0.0,1792.12,-1792.12,5,Greed,1
2024-06-25,4869.353105,103099.08,-103099.08,49,Fear,0
2024-06-27,0.0,130486.95,-129487.77,30,Fear,0
2024-06-29,6150.326145,280095.11,-279090.29,75,Fear,0
2024-07-04,0.0,430568.01,-429477.11,25,Fear,0
2024-07-05,0.0,272289.89,-268307.59,32,Fear,0
2024-07-06,108.87217799999999,2490.17,-743.31,24,Fear,0
2024-07-07,61.428942,498.75,-498.75,10,Fear,0
2024-07-08,0.0,497.64,497.64,1,Fear,0
2024-07-09,648.984412,2736.45,-2736.45,15,Fear,0
2024-07-10,11977.734907,687900.21,-687900.21,56,Fear,0
2024-07-11,1876.812082,169887.02,-169887.02,19,Fear,0
2024-07-12,1412.314654,89582.97,-89582.97,19,Fear,0
2024-07-13,2913.617837,139189.19,-139189.19,17,Fear,0
2024-07-14,0.0,84001.13,-84001.13,7,Fear,0
2024-07-16,0.0,144000.57,-144000.57,22,Greed,1
2024-07-17,1859.269477,626005.53,-626005.53,351,Greed,1
2024-07-18,3803.884311,649704.85,-649704.85,60,Greed,1
2024-07-19,2155.891114,150269.42,-150269.42,23,Greed,1
2024-07-20,2299.169566,244362.21,-244362.21,266,Greed,1
2024-07-21,-2960.716887,234307.46,-234307.46,448,Greed,1
2024-07-22,1517.119876,304213.8,-304213.8,154,Greed,1
2024-07-23,89890.302206,358526.54,-358526.54,370,Greed,1
2024-07-24,625.561479,69207.93,-57292.67,90,Greed,1
2024-07-25,916.7382600000001,528555.31,-528355.31,78,Greed,1
2024-07-26,2766.513113,548587.65,-548487.65,152,Greed,1
2024-07-27,6400.623656,905199.75,-905199.75,57,Greed,1
2024-07-28,587.29903,43254.68,-43254.68,16,Greed,1
2024-07-29,330.80445399999996,327199.14,-327199.14,39,Greed,1
2024-07-30,0.0,36006.47,-36006.47,6,Greed,1
2024-07-31,765.690884,84506.54,-84506.54,43,Greed,1
2024-08-02,782.3681909999999,396320.37,-396290.37,63,Greed,1
2024-08-03,464.1897,290532.86,-290502.86,37,Fear,0
2024-08-04,-122672.000883,1207744.07,-1206455.33,127,Fear,0
2024-08-05,-13013.665169,420495.4,-378186.32,80,Fear,0
2024-08-06,267.318048,61478.38,-40198.06,107,Fear,0
2024-08-07,188.789255,2492.77,103.58999999999992,33,Fear,0
2024-08-08,-40.712216999999995,16299.35,-14601.89,9,Fear,0
2024-08-10,0.0,11339.29,11337.93,88,Fear,0
2024-08-11,847.7766200000001,44230.21,-37449.490000000005,24,Fear,0
2024-08-12,858.6705000000001,54167.32,-49113.22,48,Fear,0
2024-08-13,212.08102,20797.87,-18778.850000000002,23,Fear,0
2024-08-14,2168.9015130000003,66710.03,-62623.71,25,Fear,0
2024-08-15,0.0,1522.3700000000001,1522.3700000000001,12,Fear,0
2024-08-16,825.230544,166382.84,-160296.46,35,Fear,0
2024-08-17,-288.283113,30248.96,29825.56,30,Fear,0
2024-08-18,307.201888,62804.48,-62804.48,15,Fear,0
2024-08-19,339.69958299999996,100315.03,-100315.03,8,Fear,0
